question,text,10/Random
Question: what are the main muscles worked during deadlifts,"Context1: Howcast | How to Start Dead Lifting: Chapter 4: If you want your back to look strong, picking up an activity like deadlifting could be beneficial for you. Many bodybuilders and athletes integrate deadlifts into their routines to increase strength and muscle mass in the hamstrings, glutes, and lower back.
Question: what are the main muscles worked during deadlifts
Are follow up questions needed here: No.
So the final answer is: Hamstrings, glutes, and lower back ###","[[(False, True)]]"
Question: how many games in the stanley cup finals,"Context1: Stanley Cup Finals: The Stanley Cup Finals refers to the championship series of the National Hockey League. It is a best-of-seven playoff series and is commonly referred to as the Stanley Cup Final.
Question: how many games in the stanley cup finals
Are follow up questions needed here: No.
So the final answer is: Best of seven ###","[[(False, True)]]"
Question: who sang the song woman released in 1979,"Context1: Gallery of Woman (1979): ""Woman"" is a 1979 song by British singer John Lennon from his studio album ""Double Fantasy"". The song was written as an ode to his wife Yoko Ono and to all women.
Question: who sang the song woman released in 1979
Are follow up questions needed here: No.
So the final answer is: John Lennon ###","[[(False, True)]]"
Question: when was the first fifa women's world cup held,"Context1: FIFA Women's World Cup: The FIFA Women's World Cup was inaugurated in 1991 and is held every four years by the international football governing body FIFA.
Question: when was the first fifa women's world cup held
Are follow up questions needed here: No.
So the final answer is: 1991 ###","[[(False, True)]]"
Question: how many calories are in an average apple,"Context1: How many calories are in a typical apple? - Quora: The average apple, weighing approximately 182 grams (6.4 ounces), has about 95 calories. Apples also contain dietary fiber, vitamins, and minerals.
Question: how many calories are in an average apple
Are follow up questions needed here: No.
So the final answer is: 95 calories ###","[[(False, True)]]"
Question: who won the nobel prize in physics in 2009,"Context1: 2009 Nobel Prize in Physics: The 2009 Nobel Prize in Physics was awarded to Charles K. Kao, Willard S. Boyle, and George E. Smith for their contributions to telecommunications and digital imaging technology.
Question: who won the nobel prize in physics in 2009
Are follow up questions needed here: No.
So the final answer is: Charles K. Kao, Willard S. Boyle, and George E. Smith ###","[[(False, True)]]"
Question: which instrument is chopin most famous for composing music for,"Context1: The Impact of Chopin on Music: Frédéric Chopin has had a massive impact on classical piano music. His work is celebrated worldwide for the emotional depth and technical brilliance.
Question: which instrument is chopin most famous for composing music for
Are follow up questions needed here: No.
So the final answer is: Piano ###","[[(False, True)]]"
Question: in what city is the eiffel tower located,"Context1: Eiffel Tower Fact Sheet - French Moments: The Eiffel Tower stands in Paris, France, and was completed in 1889. It remains one of the most visited paid monuments in the world, showcasing incredible views of the city.
Question: in what city is the eiffel tower located
Are follow up questions needed here: No.
So the final answer is: Paris ###","[[(False, True)]]"
Question: how many calories are in a medium-sized banana,"Context1: The Nutritional Information of a Banana | Verywell Fit: A medium-sized banana, which typically weighs about 118 grams, contains approximately 105 calories.
Question: how many calories are in a medium-sized banana
Are follow up questions needed here: No.
So the final answer is: 105 calories ###","[[(False, True)]]"
Question: who were the astronauts that first landed on the moon,"Context1: Apollo 11 (NASA Exp): Apollo 11 was the spaceflight that first landed humans on the moon. Commander Neil Armstrong and lunar module pilot Buzz Aldrin formed the American crew that landed the Apollo Lunar Module Eagle on July 20, 1969.
Question: who were the astronauts that first landed on the moon
Are follow up questions needed here: No.
So the final answer is: Neil Armstrong and Buzz Aldrin ###","[[(False, True)]]"
