question,text,10/Random
Question: what organization did clara barton establish,Context1: Clara Barton: Clara Barton is recognized for her role in founding the American Red Cross. She was a pioneering nurse who organized medical care for soldiers during the American Civil War. Question: what organization did clara barton establish Are follow up questions needed here: No. So the final answer is: American Red Cross ###,"[[(True, False)]]"
Question: what is the main component of the sun,"Context1: The sun: The sun is a nearly perfect sphere of hot plasma at the center of the solar system. It is primarily composed of hydrogen and helium, providing light and heat to our planet. Question: what is the main component of the sun Are follow up questions needed here: No. So the final answer is: Hydrogen ###","[[(True, False)]]"
Question: who wrote pride and prejudice,"Context1: Jane Austen: Jane Austen was an English novelist known primarily for her six major novels, which interpret, critique, and comment upon the British landed gentry at the end of the 18th century. Her most famous novels include ""Pride and Prejudice,"" ""Sense and Sensibility,"" and ""Emma."" Question: who wrote pride and prejudice Are follow up questions needed here: No. So the final answer is: Jane Austen ###","[[(True, False)]]"
Question: what planet is known for its rings,"Context1: Saturn: Saturn is the sixth planet from the Sun and the second-largest in the Solar System, after Jupiter. It is a gas giant with an average radius about nine times that of Earth. Question: what planet is known for its rings Are follow up questions needed here: No. So the final answer is: Saturn ###","[[(True, False)]]"
"Question: which artist painted ""starry night""","Context1: Vincent van Gogh: Vincent van Gogh was a Dutch post-impressionist painter who is among the most famous and influential figures in the history of Western art. He created more than 2,100 artworks, including ""Starry Night"" and ""Sunflowers."" Question: which artist painted ""starry night"" Are follow up questions needed here: No. So the final answer is: Vincent van Gogh ###","[[(True, False)]]"
Question: who was the first woman to fly solo across the atlantic,Context1: Amelia Earhart: Amelia Earhart was an American aviation pioneer and author. She was the first female aviator to fly solo across the Atlantic Ocean. Question: who was the first woman to fly solo across the atlantic Are follow up questions needed here: No. So the final answer is: Amelia Earhart ###,"[[(True, False)]]"
Question: what is the process called that describes the continuous movement of water on earth,"Context1: Water Cycle: The water cycle, also known as the hydrological cycle, describes the continuous movement of water on, above, and below the surface of the Earth. It includes processes like evaporation, condensation, precipitation, and infiltration. Question: what is the process called that describes the continuous movement of water on earth Are follow up questions needed here: No. So the final answer is: Water cycle ###","[[(True, False)]]"
"Question: who wrote ""hamlet""","Context1: Shakespeare's Works: William Shakespeare was an English playwright and poet, widely regarded as the greatest writer in the English language. His famous works include ""Hamlet,"" ""Macbeth,"" ""Romeo and Juliet,"" and ""Othello."" Question: who wrote ""hamlet"" Are follow up questions needed here: No. So the final answer is: William Shakespeare ###","[[(True, False)]]"
Question: what is the largest river by discharge volume?,"Context1: Amazon River: The Amazon River in South America is the largest river by discharge volume of water in the world, and by some definitions it is the longest. The river and its basin are home to a vast array of fish, animal, and plant species. Question: what is the largest river by discharge volume? Are follow up questions needed here: No. So the final answer is: Amazon River ###","[[(True, False)]]"
Question: who discovered americas for europe,"Context1: Christopher Columbus: Christopher Columbus was an Italian explorer and navigator who completed four voyages across the Atlantic Ocean, opening the way for the widespread European exploration and colonization of the Americas. Question: who discovered americas for europe Are follow up questions needed here: No. So the final answer is: Christopher Columbus ###","[[(True, False)]]"
Question: what is the highest mountain in the world,"Context1: Mount Everest: Mount Everest is Earth's highest mountain above sea level, located in the Himalayas on the border of Nepal and China's Tibet Autonomous Region. Its peak is 8,848.86 meters (29,031.7 feet) above sea level. Question: what is the highest mountain in the world Are follow up questions needed here: No. So the final answer is: Mount Everest ###","[[(True, False)]]"
Question: who developed the theory of relativity,"Context1: Albert Einstein: Albert Einstein was a theoretical physicist who is best known for his theory of relativity, which revolutionized our understanding of space, time, and energy. He won the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect. Question: who developed the theory of relativity Are follow up questions needed here: No. So the final answer is: Albert Einstein ###","[[(True, False)]]"
"Question: who painted the ""mona lisa""","Context1: Leonardo da Vinci: Leonardo da Vinci was an Italian polymath of the Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. His most famous works include ""Mona Lisa"" and ""The Last Supper."" Question: who painted the ""mona lisa"" Are follow up questions needed here: No. So the final answer is: Leonardo da Vinci ###","[[(True, False)]]"
Question: what is the name of the wall built to protect northern china,"Context1: The Great Wall of China: The Great Wall of China is a series of fortifications made of stone, brick, tamped earth, wood, and other materials, built along the historical northern borders of China to protect against invading nomadic groups. Question: what is the name of the wall built to protect northern china Are follow up questions needed here: No. So the final answer is: The Great Wall of China ###","[[(True, False)]]"
Question: who was the first woman to win a nobel prize,"Context1: Marie Curie: Marie Curie was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize, the only woman to win it in two different fields (Physics and Chemistry), and the first person and only woman to win it twice. Question: who was the first woman to win a nobel prize Are follow up questions needed here: No. So the final answer is: Marie Curie ###","[[(True, False)]]"
Question: what was the name of the ship that sank after hitting an iceberg in 1912,Context1: Titanic (ship): The RMS Titanic was a British passenger liner operated by the White Star Line that sank in the North Atlantic Ocean on 15 April 1912 after striking an iceberg during her maiden voyage from Southampton to New York City. Question: what was the name of the ship that sank after hitting an iceberg in 1912 Are follow up questions needed here: No. So the final answer is: RMS Titanic ###,"[[(True, False)]]"
Question: who is known for improving the telescope and astronomical observations in the 17th century,"Context1: Galileo Galilei: Galileo Galilei was an Italian astronomer, physicist, and engineer, sometimes described as a polymath. He played a major role in the scientific revolution of the seventeenth century. His achievements include improvements to the telescope and consequent astronomical observations. Question: who is known for improving the telescope and astronomical observations in the 17th century Are follow up questions needed here: No. So the final answer is: Galileo Galilei ###","[[(True, False)]]"
Question: who invented the first practical telephone,"Context1: Alexander Graham Bell: Alexander Graham Bell was a Scottish-born inventor, scientist, and engineer who is credited with inventing and patenting the first practical telephone. Question: who invented the first practical telephone Are follow up questions needed here: No. So the final answer is: Alexander Graham Bell ###","[[(True, False)]]"
Question: where is the louvre museum located,"Context1: The Louvre Museum: The Louvre or the Louvre Museum is the world's largest art museum and a historic monument in Paris, France. It is home to thousands of works of art, including the famous Mona Lisa by Leonardo da Vinci. Question: where is the louvre museum located Are follow up questions needed here: No. So the final answer is: Paris, France ###","[[(True, False)]]"
"Question: who wrote ""mathematical principles of natural philosophy""","Context1: Isaac Newton: Sir Isaac Newton was an English mathematician, physicist, astronomer, alchemist, and theologian who is recognized as one of the most influential scientists of all time. His book ""Mathematical Principles of Natural Philosophy"" laid the foundations of classical mechanics. Question: who wrote ""mathematical principles of natural philosophy"" Are follow up questions needed here: No. So the final answer is: Isaac Newton ###","[[(True, False)]]"
Question: which rainforest covers most of the amazon basin,"Context1: The Amazon Rainforest: The Amazon Rainforest, also known as Amazonia, is a moist broadleaf tropical rainforest in the Amazon biome that covers most of the Amazon basin of South America. It represents over half of the planet's remaining rainforests. Question: which rainforest covers most of the amazon basin Are follow up questions needed here: No. So the final answer is: The Amazon Rainforest ###","[[(True, False)]]"
Question: who led the nonviolent resistance for india's independence,"Context1: Mahatma Gandhi: Mahatma Gandhi was an Indian lawyer, anti-colonial nationalist, and political ethicist, who employed nonviolent resistance to lead the successful campaign for India's independence from British rule. Question: who led the nonviolent resistance for india's independence Are follow up questions needed here: No. So the final answer is: Mahatma Gandhi ###","[[(True, False)]]"
Question: where is sydney opera house located,"Context1: Sydney Opera House: The Sydney Opera House is a multi-venue performing arts centre at Sydney Harbour in Sydney, New South Wales, Australia. It is one of the most famous and distinctive buildings in the world. Question: where is sydney opera house located Are follow up questions needed here: No. So the final answer is: Sydney, Australia ###","[[(True, False)]]"
Question: what is the name of the world's largest coral reef system,"Context1: The Great Barrier Reef: The Great Barrier Reef is the world's largest coral reef system, located in the Coral Sea off the coast of Queensland, Australia. It is composed of over 2,900 individual reefs and 900 islands. Question: what is the name of the world's largest coral reef system Are follow up questions needed here: No. So the final answer is: The Great Barrier Reef ###","[[(True, False)]]"
Question: who are credited with flying the first successful airplane,"Context1: Wright brothers: The Wright brothers, Orville and Wilbur Wright, were American aviation pioneers generally credited with inventing, building, and flying the world's first successful motor-operated airplane. Their first flight took place on December 17, 1903, near Kitty Hawk, North Carolina. Question: who are credited with flying the first successful airplane Are follow up questions needed here: No. So the final answer is: Wright brothers ###","[[(True, False)]]"
Question: what is the highest mountain in africa,"Context1: Mount Kilimanjaro: Mount Kilimanjaro is a dormant volcano in Tanzania. It is the highest mountain in Africa, with its summit about 4,900 meters (16,100 feet) from its base and 5,895 meters (19,341 feet) above sea level. Question: what is the highest mountain in africa Are follow up questions needed here: No. So the final answer is: Mount Kilimanjaro ###","[[(True, False)]]"
Question: which renaissance artist painted the ceiling of the sistine chapel,"Context1: Michelangelo: Michelangelo was an Italian sculptor, painter, architect, and poet of the High Renaissance. He is widely considered one of the greatest artists of all time, with famous works including the ceiling of the Sistine Chapel and ""David."" Question: which renaissance artist painted the ceiling of the sistine chapel Are follow up questions needed here: No. So the final answer is: Michelangelo ###","[[(True, False)]]"
Question: who was the first black president of south africa,"Context1: Nelson Mandela: Nelson Mandela was a South African anti-apartheid revolutionary, political leader, and philanthropist who served as President of South Africa from 1994 to 1999, becoming the country's first black head of state and the first elected in a fully representative democratic election. Question: who was the first black president of south africa Are follow up questions needed here: No. So the final answer is: Nelson Mandela ###","[[(True, False)]]"
"Question: which composer created over 600 works and is known for ""the magic flute""","Context1: Mozart: Wolfgang Amadeus Mozart was a prolific and influential composer of the Classical era. He composed over 600 works, many of which are widely acknowledged as pinnacles of symphonic, concertante, chamber, operatic, and choral music. Question: which composer created over 600 works and is known for ""the magic flute"" Are follow up questions needed here: No. So the final answer is: Wolfgang Amadeus Mozart ###","[[(True, False)]]"
Question: which waterfalls are located on the border between the us and canada,"Context1: Niagara Falls: Niagara Falls is a group of three waterfalls at the southern end of Niagara Gorge, spanning the border between the province of Ontario in Canada and the state of New York in the United States. Question: which waterfalls are located on the border between the us and canada Are follow up questions needed here: No. So the final answer is: Niagara Falls ###","[[(True, False)]]"
